position,heaps,depth,algo,reps,avg_nodes,avg_time_ms,move_heap,move_remove
3-4-5,3,2,minimax,30,125,0.001054,0,2
3-4-5,3,2,alphabeta,30,125,0.004147,0,2
3-4-5,3,3,minimax,30,935,0.007306,0,1
3-4-5,3,3,alphabeta,30,402,0.025081,0,2
3-4-5,3,4,minimax,30,5273,0.043933,0,2
3-4-5,3,4,alphabeta,30,1259,0.048225,0,2
3-4-5,3,5,minimax,30,22769,0.192824,0,1
3-4-5,3,5,alphabeta,30,2219,0.085127,0,2
3-4-5,3,6,minimax,30,76211,0.664868,0,2
3-4-5,3,6,alphabeta,30,4788,0.156867,0,2
3-4-5,3,7,minimax,30,199439,1.780555,0,1
3-4-5,3,7,alphabeta,30,7050,0.194642,0,2
3-4-5,3,8,minimax,30,410909,3.684919,0,2
3-4-5,3,8,alphabeta,30,10442,0.286175,0,2
3-4-5,3,9,minimax,30,673157,6.111474,0,1
3-4-5,3,9,alphabeta,30,9968,0.262897,0,2
3-4-5,3,10,minimax,30,895547,8.161301,0,2
3-4-5,3,10,alphabeta,30,12920,0.321615,0,2
